BOR;AN;nofinesset;nofinessej;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;010000024;010780054;1;10;4;0;50;1;1;10;424;;;;1;;;;;;;;;;;;;;1;6;;9;;2;5;4;;5;;;1;1;2.03;1.98;1;9.69;;9.01;0.83;2.45;;;;;;;;;4;3;;4;;;3;;0.85;0.5;;1.75;;;1.1;
PALIA;2019;010000065;010780096;1;10;;;163;1;1;10;179;;;;0;;;;;;;;;;;;;;;;;;;;2;1;1;25;;25;1;3;1.47;0.6;0.6;7.96;;7.22;0.01;0.38;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;010000214;010007987;1;10;10;;165;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;010005239;010008407;0;;;;;0;;;;;;;1;775;2;1;64;13;13;39;147;;42;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0.56;0.56;0.25;0.5;0;0;0.5;0
PALIA;2019;010780195;010000156;1;4;0;0;82;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;020000097;020000048;0;;;;;1;1;8;160;;;;0;;;;;;;;;;;;1;;1;4;4;7;1;;;;;;;;;;1;;0.5;3.8;3.8;7;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;020000105;020000055;1;6;2;;57;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;020000162;020000063;1;8;4;0;88;0;;;;;;;1;341;24;6;261;180;81;0;633;10;48;72;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;1;0;2;0;1;1;0;0;0;0;0;0;0.4;0.4;0.1;2;1;0;2;0
PALIA;2019;020000246;020000071;0;;;;;0;;;;;;;1;;9;5;306;212;94;;59;;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;0.28;0.1;0.9;0.9;0.5;0.5;0.2
PALIA;2019;020000303;750814030;1;8;8;;86;0;;;;;;;1;81;0;0;1;0;0;0;16;0;2;0;1;1;2;7;1;8;3;18;;;;;;;;;0.8;0.8;0.46;5.7;1;4.7;0.4;3.87;1;1;1;;;;1;;;;;;;;;;0.2;0.2;0.1;;;;0.1;
